# code: blastn -task blastn  -query MS11.fasta -db MS11.fasta -evalue 1e-20 -num_threads 4 -outfmt 6 -out blastn.txt
# Info: -outfmt "6 qseqid sseqid pident length mismatch gapopen qstart qend sstart send evalue bitscore"
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 493 hits found
CP003909.1	CP003909.1	100.000	2233640	0	0	1	2233640	1	2233640	0.0	4.028e+06
CP003909.1	CP003909.1	99.014	8009	71	7	1285026	1293029	1171935	1179940	0.0	14063
CP003909.1	CP003909.1	99.014	8009	71	7	1171935	1179940	1285026	1293029	0.0	14063
CP003909.1	CP003909.1	99.672	6706	10	9	1719793	1726489	1327029	1333731	0.0	11964
CP003909.1	CP003909.1	99.672	6706	10	9	1327029	1333731	1719793	1726489	0.0	11964
CP003909.1	CP003909.1	99.800	6507	7	6	1942752	1949257	1327235	1333736	0.0	11654
CP003909.1	CP003909.1	99.800	6507	7	6	1327235	1333736	1942752	1949257	0.0	11654
CP003909.1	CP003909.1	99.631	6503	10	10	1942752	1949252	1719999	1726489	0.0	11587
CP003909.1	CP003909.1	99.631	6503	10	10	1719999	1726489	1942752	1949252	0.0	11587
CP003909.1	CP003909.1	99.676	6169	9	8	1327386	1333544	1184452	1190619	0.0	11009
CP003909.1	CP003909.1	99.676	6169	9	8	1184452	1190619	1327386	1333544	0.0	11009
CP003909.1	CP003909.1	99.595	6172	11	11	1942903	1949064	1184452	1190619	0.0	10981
CP003909.1	CP003909.1	99.595	6172	11	11	1184452	1190619	1942903	1949064	0.0	10981
CP003909.1	CP003909.1	99.579	6170	11	12	1720150	1726306	1184452	1190619	0.0	10969
CP003909.1	CP003909.1	99.579	6170	11	12	1184452	1190619	1720150	1726306	0.0	10969
CP003909.1	CP003909.1	99.546	4844	13	6	1286139	1290977	1150330	1155169	0.0	8617
CP003909.1	CP003909.1	99.546	4844	13	6	1150330	1155169	1286139	1290977	0.0	8617
CP003909.1	CP003909.1	98.329	4848	68	10	1173049	1177891	1150330	1155169	0.0	8345
CP003909.1	CP003909.1	98.329	4848	68	10	1150330	1155169	1173049	1177891	0.0	8345
CP003909.1	CP003909.1	99.887	4411	1	4	1670276	1674685	1171939	1176346	0.0	7918
CP003909.1	CP003909.1	99.887	4411	1	4	1171939	1176346	1670276	1674685	0.0	7918
CP003909.1	CP003909.1	98.976	4396	41	4	1670276	1674671	1285030	1289421	0.0	7710
CP003909.1	CP003909.1	98.976	4396	41	4	1285030	1289421	1670276	1674671	0.0	7710
CP003909.1	CP003909.1	99.296	4264	25	4	1141689	1145950	462192	457932	0.0	7541
CP003909.1	CP003909.1	99.296	4264	25	4	457932	462192	1145950	1141689	0.0	7541
CP003909.1	CP003909.1	98.870	4248	43	4	1656633	1660876	1146964	1142718	0.0	7431
CP003909.1	CP003909.1	98.870	4248	43	4	1142718	1146964	1660876	1656633	0.0	7431
CP003909.1	CP003909.1	99.605	3544	11	3	1135317	1138859	468919	465378	0.0	6318
CP003909.1	CP003909.1	99.605	3544	11	3	465378	468919	1138859	1135317	0.0	6318
CP003909.1	CP003909.1	99.195	3231	24	2	1657647	1660876	457932	461161	0.0	5703
CP003909.1	CP003909.1	99.195	3231	24	2	457932	461161	1657647	1660876	0.0	5703
CP003909.1	CP003909.1	98.450	3290	42	6	1671386	1674671	1150330	1153614	0.0	5685
CP003909.1	CP003909.1	98.450	3290	42	6	1150330	1153614	1671386	1674671	0.0	5685
CP003909.1	CP003909.1	99.869	3050	2	1	2114174	2117223	1677728	1674681	0.0	5479
CP003909.1	CP003909.1	99.869	3050	2	1	1674681	1677728	2117223	2114174	0.0	5479
CP003909.1	CP003909.1	98.703	2158	22	1	2022070	2024221	1092201	1090044	0.0	3766
CP003909.1	CP003909.1	98.703	2158	22	1	1090044	1092201	2024221	2022070	0.0	3766
CP003909.1	CP003909.1	99.808	2080	4	0	1631167	1633246	1430029	1427950	0.0	3734
CP003909.1	CP003909.1	99.808	2080	4	0	1427950	1430029	1633246	1631167	0.0	3734
CP003909.1	CP003909.1	98.601	2002	25	3	1668076	1670075	1136068	1134068	0.0	3474
CP003909.1	CP003909.1	98.601	2002	25	3	1134068	1136068	1670075	1668076	0.0	3474
