NGFG_00137	NC_003112.2	95.568	1557	69	0	1	1557	2005945	2004389	0.0	2494
NGFG_00138	NC_003112.2	96.739	1104	36	0	1	1104	2004154	2003051	0.0	1840
NGFG_00139	NC_003112.2	94.275	2061	112	4	1	2058	2002040	1999983	0.0	3147
NGFG_00140	NC_003112.2	92.568	444	33	0	1	444	1999814	1999371	0.0	638
NGFG_00141	NC_003112.2	97.099	517	14	1	1	517	1999364	1998849	0.0	870
NGFG_00143	NC_003112.2	95.606	2640	110	3	1	2637	1998585	1995949	0.0	4228
NGFG_00144	NC_003112.2	96.469	793	26	2	1	793	1995815	1995025	0.0	1308
NGFG_00149	NC_003112.2	96.498	257	9	0	1	257	1993426	1993170	4.25e-120	425
NGFG_00150	NC_003112.2	86.441	295	35	5	77	368	1993042	1992750	8.82e-88	318
NGFG_06000	NC_003112.2	100.000	86	0	0	1	86	1991838	1991753	1.09e-40	159
NGFG_00152	NC_003112.2	97.721	351	8	0	1	351	1991739	1991389	5.75e-174	604
NGFG_00153	NC_003112.2	98.966	774	8	0	1	774	1991382	1990609	0.0	1386
NGFG_00154	NC_003112.2	97.421	504	13	0	1	504	1990430	1989927	0.0	859
NGFG_00155	NC_003112.2	92.061	655	52	0	1	655	1989824	1989170	0.0	922
NGFG_00156	NC_003112.2	93.993	283	15	2	1	282	1989046	1988765	1.06e-120	427
NGFG_00157	NC_003112.2	96.511	2178	76	0	1	2178	1988349	1986172	0.0	3602
NGFG_00158	NC_003112.2	97.222	324	9	0	1	324	1986058	1985735	2.52e-157	549
NGFG_00159	NC_003112.2	94.513	966	41	2	7	972	1985166	1984213	0.0	1480
NGFG_00160	NC_003112.2	95.825	958	38	2	1	957	1983977	1983021	0.0	1546
NGFG_00161	NC_003112.2	93.750	2016	126	0	1	2016	1982906	1980891	0.0	3025
NGFG_00162	NC_003112.2	96.110	1311	51	0	1	1311	1980690	1979380	0.0	2139
NGFG_00163	NC_003112.2	90.183	438	31	2	1	429	1979383	1978949	1.56e-160	560
NGFG_00164	NC_003112.2	97.664	642	15	0	1	642	1978875	1978234	0.0	1103
